,Game_Date,Season,Game_ID,Final_Score_A,Final_Score_H,Full_Timeouts_A,Full_Timeouts_H,L2M_Score_A,L2M_Score_H,Largest_Lead_A,Largest_Lead_H,Lead_Changes_A,Lead_Changes_H,Losses_Entering_Gm_A,Losses_Entering_Gm_H,Qtr_4_Score_A,Qtr_4_Score_H,Short_Timeouts_A,Short_Timeouts_H,Team_Minutes_A,Team_Minutes_H,Ties_A,Ties_H,Wins_Entering_Gm_A,Wins_Entering_Gm_H,l2mpace_A,l2mpace_H,points_A,points_H,q4pace_A,q4pace_H,result_A,result_H,max_win,max_loss,Season_Num,ATL_A,BKN_A,BOS_A,CHA_A,CHI_A,CLE_A,DAL_A,DEN_A,DET_A,GSW_A,HOU_A,IND_A,LAC_A,LAL_A,MEM_A,MIA_A,MIL_A,MIN_A,NOP_A,NYK_A,OKC_A,ORL_A,PHI_A,PHX_A,POR_A,SAC_A,SAS_A,TOR_A,UTA_A,WAS_A,ATL_H,BKN_H,BOS_H,CHA_H,CHI_H,CLE_H,DAL_H,DEN_H,DET_H,GSW_H,HOU_H,IND_H,LAC_H,LAL_H,MEM_H,MIA_H,MIL_H,MIN_H,NOP_H,NYK_H,OKC_H,ORL_H,PHI_H,PHX_H,POR_H,SAC_H,SAS_H,TOR_H,UTA_H,WAS_H,Central,Eastern,Mountain,Pacific,as0,as1,as2,as3,as4,as5,as6,as7,y16,y17,y18,m01,m02,m03,m04,m10,m11,m12,d0,d1,d2,d3,d4,d5,d6
0,2016-10-25,2016-17,21600001,88.0,117.0,4.0,4.0,84.0,113.0,4.0,32.0,0.0,1.0,0,0,64.0,82.0,2.0,1.0,240.0,240.0,1.0,3.0,0,0,5.906474820143885,6.124031007751938,29.0,29.0,26.39568345323741,26.8062015503876,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2016-10-25,2016-17,21600002,104.0,113.0,5.0,5.0,102.0,104.0,8.0,13.0,5.0,6.0,0,0,83.0,77.0,2.0,0.0,240.0,240.0,1.0,6.0,0,0,5.833333333333333,6.746268656716418,39.0,39.0,27.17391304347826,26.761194029850746,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,2016-10-25,2016-17,21600003,129.0,100.0,5.0,3.0,122.0,100.0,29.0,4.0,1.0,1.0,0,0,97.0,77.0,1.0,1.0,240.0,240.0,1.0,2.0,0,0,5.426470588235294,5.323529411764706,35.0,35.0,26.330882352941178,26.16176470588235,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,2016-10-26,2016-17,21600004,108.0,96.0,4.0,4.0,104.0,92.0,19.0,7.0,7.0,7.0,0,0,80.0,69.0,1.0,2.0,240.0,240.0,6.0,7.0,0,0,6.205882352941177,5.717391304347826,20.0,20.0,26.470588235294116,25.036231884057973,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,2016-10-26,2016-17,21600005,121.0,130.0,7.0,5.0,110.0,110.0,1.0,14.0,2.0,2.0,0,0,85.0,94.0,4.0,2.0,265.0,265.0,7.0,1.0,0,0,5.767441860465116,5.768115942028985,30.0,30.0,25.015503875968992,25.528985507246375,0,1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,2016-10-26,2016-17,21600006,117.0,122.0,5.0,4.0,110.0,118.0,4.0,23.0,1.0,1.0,0,0,81.0,97.0,3.0,3.0,240.0,240.0,1.0,0.0,0,0,6.116279069767442,6.4140625,25.0,25.0,27.27906976744186,27.5,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,2016-10-26,2016-17,21600007,91.0,109.0,4.0,4.0,89.0,106.0,7.0,20.0,0.0,1.0,0,0,71.0,86.0,2.0,0.0,240.0,240.0,1.0,1.0,0,0,5.78030303030303,6.359712230215828,40.0,40.0,26.265151515151516,27.73381294964029,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,2016-10-26,2016-17,21600008,107.0,96.0,4.0,4.0,101.0,89.0,24.0,0.0,0.0,0.0,0,0,83.0,66.0,1.0,1.0,240.0,240.0,0.0,2.0,0,0,5.952755905511811,5.8655462184873945,31.0,31.0,26.401574803149607,25.672268907563026,1,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,2016-10-26,2016-17,21600009,98.0,102.0,5.0,5.0,90.0,89.0,17.0,6.0,5.0,6.0,0,0,75.0,76.0,2.0,1.0,240.0,240.0,0.0,5.0,0,0,5.985401459854015,5.7615384615384615,25.0,25.0,26.16788321167883,25.615384615384617,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,2016-10-26,2016-17,21600010,114.0,123.0,6.0,5.0,109.0,121.0,10.0,20.0,7.0,7.0,0,0,91.0,97.0,0.0,0.0,240.0,240.0,3.0,5.0,0,0,6.318181818181818,6.306569343065694,,,26.59090909090909,27.656934306569344,1,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,2016-10-26,2016-17,21600011,103.0,97.0,6.0,5.0,94.0,95.0,6.0,11.0,7.0,6.0,0,0,69.0,75.0,2.0,2.0,240.0,240.0,5.0,2.0,0,0,6.125925925925926,6.168,32.0,32.0,26.77037037037037,25.76,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,2016-10-26,2016-17,21600012,113.0,94.0,4.0,5.0,110.0,85.0,26.0,4.0,1.0,1.0,0,0,84.0,67.0,1.0,1.0,240.0,240.0,2.0,2.0,0,0,5.954545454545454,5.9416058394160585,24.0,24.0,25.62878787878788,26.81021897810219,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,2016-10-26,2016-17,21600013,114.0,120.0,5.0,4.0,112.0,113.0,10.0,6.0,4.0,5.0,0,0,96.0,90.0,1.0,2.0,240.0,240.0,4.0,9.0,0,0,5.333333333333333,5.648854961832061,34.0,34.0,26.274074074074075,26.48854961832061,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,2016-10-27,2016-17,21600014,99.0,114.0,6.0,4.0,93.0,107.0,6.0,19.0,9.0,10.0,0,0,80.0,81.0,2.0,1.0,240.0,240.0,7.0,7.0,0,0,6.323529411764706,6.192857142857143,28.0,28.0,27.073529411764707,26.892857142857142,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,2016-10-27,2016-17,21600015,99.0,105.0,5.0,4.0,95.0,99.0,1.0,15.0,1.0,1.0,0,0,73.0,79.0,1.0,2.0,240.0,240.0,0.0,0.0,1,0,6.4140625,5.828125,25.0,25.0,27.5,26.5703125,0,1,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
15,2016-10-27,2016-17,21600016,102.0,94.0,4.0,4.0,96.0,89.0,11.0,11.0,2.0,1.0,0,0,76.0,71.0,0.0,0.0,240.0,240.0,3.0,2.0,1,1,5.426470588235294,5.954545454545454,37.0,37.0,26.330882352941178,25.62878787878788,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
16,2016-10-27,2016-17,21600017,114.0,106.0,4.0,6.0,107.0,96.0,15.0,6.0,5.0,5.0,0,0,82.0,82.0,2.0,1.0,240.0,240.0,7.0,2.0,0,1,5.144927536231884,6.746268656716418,29.0,29.0,26.608695652173914,26.761194029850746,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,2016-10-28,2016-17,21600018,94.0,91.0,5.0,5.0,89.0,89.0,12.0,1.0,1.0,1.0,0,0,71.0,67.0,2.0,2.0,240.0,240.0,1.0,3.0,1,1,6.124031007751938,6.359712230215828,32.0,32.0,26.8062015503876,27.73381294964029,1,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2016-10-28,2016-17,21600019,94.0,103.0,5.0,4.0,89.0,99.0,10.0,14.0,4.0,4.0,0,1,79.0,72.0,1.0,2.0,240.0,240.0,5.0,0.0,1,0,5.768115942028985,6.116279069767442,25.0,25.0,25.528985507246375,27.27906976744186,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,2016-10-28,2016-17,21600020,82.0,108.0,5.0,4.0,74.0,104.0,1.0,35.0,1.0,1.0,1,1,51.0,86.0,1.0,0.0,240.0,240.0,1.0,0.0,0,0,5.717391304347826,5.78030303030303,18.0,18.0,25.036231884057973,26.265151515151516,0,1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,2016-10-28,2016-17,21600021,110.0,113.0,7.0,7.0,100.0,102.0,18.0,4.0,3.0,4.0,1,0,83.0,77.0,2.0,3.0,265.0,265.0,1.0,6.0,0,1,5.9416058394160585,6.125925925925926,51.0,51.0,26.81021897810219,26.77037037037037,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,2016-10-28,2016-17,21600022,97.0,91.0,5.0,4.0,94.0,87.0,10.0,19.0,1.0,0.0,0,0,73.0,77.0,0.0,2.0,240.0,240.0,2.0,1.0,1,1,5.952755905511811,6.205882352941177,24.0,24.0,26.401574803149607,26.470588235294116,1,0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22,2016-10-28,2016-17,21600023,114.0,94.5,2.5,6.5,111.5,90.0,27.5,4.5,1.0,1.0,1,1,89.0,68.5,0.0,1.0,240.0,240.0,1.5,2.0,0,0,5.333333333333333,5.767441860465116,,,26.274074074074075,25.015503875968992,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,2016-10-28,2016-17,21600024,89.0,96.0,6.0,5.0,83.0,91.0,4.0,11.0,10.0,10.0,0,1,65.0,65.0,1.0,0.0,240.0,240.0,8.0,4.0,1,0,5.648854961832061,5.833333333333333,23.0,23.0,26.48854961832061,27.17391304347826,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
